#OTU ID	garden1	garden2	garden3	garden4	woods1	woods2	woods3	woods4
zotu357	0	0	0	2	26	46	27	69
zotu358	0	0	0	0	15	30	21	45
zotu359	0	0	0	0	6	9	5	10
zotu36	2	50	1	2	0	0	0	0
zotu360	0	0	0	0	6	13	9	27
zotu361	0	0	0	0	11	5	2	14
zotu362	0	0	0	0	5	9	4	13
zotu363	0	0	0	0	6	11	11	24
zotu364	0	0	0	0	18	5	7	16
zotu365	2	1	3	4	18	12	11	25
zotu366	0	0	0	0	9	13	5	16
zotu37	2	1	3	3	77	95	32	84
zotu38	0	0	0	1	77	85	35	82
zotu39	54	0	0	0	0	0	0	0
zotu4	3	205	0	0	0	0	0	0
zotu40	5	18	5	53	0	0	0	0
zotu41	0	0	0	0	85	16	14	16
zotu42	0	0	0	0	10	42	18	29
zotu43	11	46	8	4	0	0	0	0
zotu44	34	58	21	9	0	0	0	0
zotu45	0	0	0	0	72	71	32	70
zotu46	0	0	0	0	82	66	83	138
zotu47	3	0	1	1	42	47	52	78
zotu48	67	0	0	0	0	0	0	1
zotu49	50	0	0	0	0	0	0	0
zotu5	214	0	0	0	0	0	0	0
zotu50	0	0	1	36	0	0	0	0
zotu51	0	0	3	2	57	29	36	61
zotu52	41	0	0	0	0	0	0	0
zotu53	45	17	37	12	0	0	0	0
zotu54	55	0	0	0	0	0	0	0
zotu55	0	35	0	2	0	0	0	0
zotu56	12	3	17	49	0	0	0	0
zotu57	0	0	1	0	67	58	21	55
zotu58	10	15	8	11	79	61	35	59
zotu59	1	0	3	0	14	29	22	62
zotu6	0	0	0	0	274	256	162	238
zotu60	48	0	0	0	0	0	0	0
zotu61	38	11	8	3	0	0	0	0
zotu62	181	0	24	6	0	0	0	0
zotu63	0	0	0	0	73	70	28	60
zotu64	3	7	0	2	81	56	26	72
zotu65	0	0	0	0	37	54	13	43
zotu66	1	0	2	0	48	60	36	92
zotu67	36	35	20	7	0	0	0	0
zotu68	39	0	0	0	0	0	0	0
zotu69	2	0	0	2	63	36	14	43
zotu7	0	0	0	0	238	53	26	44
zotu70	0	0	0	0	0	40	22	44
zotu71	34	1	34	13	83	84	86	127
zotu72	2	0	0	2	116	47	28	55
zotu73	0	0	0	0	66	15	8	22
zotu74	0	0	0	0	20	19	36	25
zotu75	0	0	0	1	32	41	31	75
zotu76	6	8	2	48	0	0	0	0
zotu77	5	4	1	4	59	31	17	33
zotu78	0	3	2	1	23	26	25	47
zotu79	8	0	5	3	56	55	46	82
zotu8	79	191	0	2	0	0	0	0
zotu80	40	0	0	0	0	0	0	0
zotu81	4	45	2	4	2	0	2	1
zotu82	13	29	12	9	0	0	1	0
zotu83	0	32	0	0	0	0	0	0
zotu84	7	98	3	17	2	0	0	0
zotu85	0	0	0	0	63	59	34	58
zotu86	0	0	0	0	57	65	39	78
zotu87	2	2	1	1	67	28	15	41
zotu88	1	44	1	3	4	0	3	1
zotu89	23	67	15	20	0	0	0	0
zotu9	0	159	0	1	0	0	0	0
zotu90	0	31	9	1	0	0	0	0
zotu91	2	33	4	10	0	0	0	0
zotu92	7	0	6	27	0	0	0	0
zotu93	2	2	3	3	37	15	12	16
zotu94	0	0	0	0	26	47	44	70
zotu95	0	0	0	0	60	64	35	56
zotu96	3	2	3	4	57	41	29	43
zotu97	2	4	0	4	77	63	24	70
zotu98	26	31	6	19	0	0	0	0
zotu99	13	46	25	11	0	0	0	0
